maxordQty,handlingDays,name,Brand,Origin,Supplier,Cat,storeStock,retailPrice,LowerSugar,TransFat,LactoseFree
51.0,0.0,Oki Premium Canola Oil ,Oki,Singapore,NGO CHEW HONG EDIBLE OIL PTE LTD,Oil,241.0,14.5,Yes,No,No
30.0,0.0,Fortune Cooked Hokkien Noodle - Round,Fortune,Singapore,FORTUNE FOOD MARKETING PTE LTD,Noodles,214.0,1.5,No,Yes,No
51.0,0.0,Marigold Evaporated Milk - King Of Kings (Full Cream),Marigold,Singapore,JOO KOON DC,Sugar & Sweeteners,460.0,1.6,No,No,No
51.0,0.0,Barilla Pasta - Spaghetti No.5,Barilla,Italy,no info,Pasta,381.0,2.85,No,No,No
51.0,0.0,FairPrice Salt - Fine,Fairprice,Australia,JOO KOON DC,"Rice, Noodles & Cooking Ingredients",361.0,0.35,No,No,No
51.0,0.0,Naturel Olive Oil - Extra Virgin,Naturel,Spain,JOO KOON DC,Oil,197.0,8.9,Yes,No,No
51.0,0.0,Prego Pasta Sauce - Traditional Tomato,Prego,Malaysia,JOO KOON DC,Cooking Paste & Sauces,248.0,2.4,No,No,No
51.0,0.0,FairPrice Sunflower Oil,Fairprice,Singapore,no info,"Rice, Noodles & Cooking Ingredients",453.0,7.4,Yes,No,No
51.0,0.0,San Remo Pasta - Penne,San Remo,Australia,JOO KOON DC,Pasta,199.0,2.4,No,No,No
51.0,0.0,SIS Raw Sugar - Natural Granulated,Sis,Singapore,JOO KOON DC,Sugar & Sweeteners,199.0,4.0,No,No,No
999.0,0.0,Double FP Thai Hom Mali Premium Quality Fragrant Rice,Double Fp,Thailand,JOO KOON DC,Rice,450.0,12.3,No,Yes,No
51.0,0.0,FairPrice Flour - Corn,Fairprice,Singapore,JOO KOON DC,"Rice, Noodles & Cooking Ingredients",174.0,0.7,No,No,No
51.0,0.0,Campbell's Condensed Soup - Cream of Chicken,Campbell'S,Malaysia,no info,Soups,341.0,1.65,No,No,No
37.0,0.0,Ayam Brand Coconut Milk,Ayam Brand,Malaysia,JOO KOON DC,Baking Needs,354.0,1.0,No,No,No
37.0,0.0,Prego Pasta Sauce - Tomato Mushroom,Prego,Malaysia,JOO KOON DC,Cooking Paste & Sauces,77.0,2.4,No,No,No
51.0,0.0,Borges Olive Oil - Extra Light,Borges,Spain,JOO KOON DC,Oil,489.0,27.9,Yes,No,No
51.0,0.0,FairPrice Vegetable Oil,Fairprice,Singapore,JOO KOON DC,"Rice, Noodles & Cooking Ingredients",204.0,11.95,No,Yes,No
51.0,0.0,FairPrice Thailand Rice - Blend,Fairprice,Thailand,no info,"Rice, Noodles & Cooking Ingredients",285.0,6.9,Yes,No,No
51.0,0.0,Lee Kum Kee Oyster Sauce - Premium Brand,Lee Kum Kee,Hong Kong,JOO KOON DC,Condiments,162.0,7.25,No,No,No
0.0,3.0,AAA ARTIFICIAL VINEGAR,AAA,Singapore,no info,Condiments,745.0,4.95,No,Yes,Yes
51.0,0.0,Double FP Thai Hom Mali Premium Quality Fragrant Rice,Double Fp,Thailand,RICE - TRADING,Rice,186.0,23.65,No,No,No
51.0,0.0,Temasek Gold Basmati Rice ,Temasek Gold,India,no info,Rice,132.0,21.95,No,No,No
51.0,0.0,Naturel Cooking Oil - Sunflower,Naturel,Malaysia,JOO KOON DC,Oil,226.0,11.7,Yes,No,No
51.0,0.0,FairPrice Canola Oil,Fairprice,Singapore,no info,"Rice, Noodles & Cooking Ingredients",176.0,14.95,Yes,No,No
51.0,0.0,FairPrice Thai Hom Mali Superior Fragrant Rice,Fairprice,Thailand,RICE - TRADING,"Rice, Noodles & Cooking Ingredients",223.0,13.5,No,No,No
51.0,0.0,Maicar Pasta - Macaroni Elbow,Maicar,China,no info,Pasta,345.0,1.5,No,No,No
51.0,0.0,Barilla Pasta Sauce - Bolognese,Barilla,Italy,no info,Cooking Paste & Sauces,363.0,4.75,No,Yes,Yes
51.0,0.0,FairPrice Canola Oil,Fairprice,Singapore,no info,"Rice, Noodles & Cooking Ingredients",322.0,7.2,Yes,No,No
51.0,0.0,Taj Basmati Low GI Rice,Taj,India,TOPSELLER PTE LTD,Rice,166.0,21.0,No,No,No
51.0,0.0,Koka Non-Fried Plain Instant Noodles - Fat Free,Koka,Singapore,no info,Noodles,269.0,1.6,No,No,No
51.0,0.0,FairPrice Rice Vermicelli (Bee Hoon),Fairprice,Singapore,JOO KOON DC,"Rice, Noodles & Cooking Ingredients",424.0,1.05,No,No,No
51.0,0.0,Tiger Brand Artificial Vinegar,Tiger Brand,Malaysia,no info,Condiments,346.0,1.45,No,No,No
51.0,0.0,Pasar Dried Bean Vermicelli,Pasar,China,CONFECTIONARY & WINE WH,"Rice, Noodles & Cooking Ingredients",314.0,1.0,No,No,No
51.0,0.0,Heinz Chili Sauce,Heinz,Thailand,JOO KOON DC,Condiments,188.0,1.55,No,No,No
51.0,0.0,Arm & Hammer Pure Baking Soda,Arm & Hammer,USA,JOO KOON DC,Baking Needs,252.0,1.5,No,No,No
51.0,0.0,Tiger Brand Soya Sauce - Light (Top Quality),Tiger Brand,Malaysia,no info,Condiments,168.0,3.95,No,No,No
51.0,0.0,Royal Umbrella Thai Hom Mali Fragrant Rice - New Crop,Royal Umbrella,Thailand,TOPSELLER PTE LTD,Rice,276.0,17.8,No,No,No
